City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hilo,US,82.13,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
2,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Cabo San Lucas,MX,88.81,overcast clouds,22.8909,-109.9124,Tesoro Los Cabos
5,Kulhudhuffushi,MV,82.56,broken clouds,6.6221,73.07,Haajy Guest House 1
7,Butaritari,KI,83.91,light rain,3.0707,172.7902,Isles Sunset Lodge
12,Atuona,PF,78.8,broken clouds,-9.8,-139.0333,Villa Enata
25,Laguna,US,89.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
27,Kavieng,PG,80.6,moderate rain,-2.5744,150.7967,Nusa Island Retreat
28,Hasaki,JP,79.2,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
33,San Patricio,US,82.49,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
38,Binzhou,CN,76.75,clear sky,37.3667,118.0167,Hampton By Hilton Binzhou
46,Dakoro,NE,83.16,scattered clouds,14.5106,6.765,Shagon mai liverpool
48,Axim,GH,79.2,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
53,Lorengau,PG,82.26,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
54,Puerto Ayora,EC,75.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
62,Bengkulu,ID,81.93,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
65,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
70,Meulaboh,ID,81.5,overcast clouds,4.1363,96.1285,Kost Pria
73,Marawi,PH,80.65,few clouds,7.9986,124.2928,Derogongan Residence
77,Kieta,PG,77.27,heavy intensity rain,-6.2167,155.6333,Uruna Bay Retreat
82,Biak,ID,83.14,few clouds,-0.9131,122.8766,Penginapan Kim
88,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
89,Avarua,CK,84.25,light rain,-21.2078,-159.775,Paradise Inn
90,Hithadhoo,MV,81.72,overcast clouds,-0.6,73.0833,Scoop Guest House
101,Fare,PF,80.22,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
102,Ratnagiri,IN,84.78,overcast clouds,16.9833,73.3,Hotel Landmark
103,Half Moon Bay,US,75.88,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
107,Sinnamary,GF,75.81,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
121,Tutoia,BR,79.84,few clouds,-2.7619,-42.2744,Pousada Guará's
124,Toumodi,CI,77.5,broken clouds,6.5613,-5.0158,Hotel Akanza
126,Tevaitoa,PF,80.49,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
130,Bandarbeyla,SO,78.19,broken clouds,9.4942,50.8122,JABIR HOTEL
136,Kalmunai,LK,82.06,few clouds,7.4167,81.8167,VS Villa
139,Labuhan,ID,85.01,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
145,Gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
151,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
152,Bargarh,IN,83.91,overcast clouds,21.3333,83.6167,HOTEL VD PALACE
153,Gizo,SB,77.76,heavy intensity rain,-8.103,156.8419,Imagination Island
159,Agua Dulce,MX,81.12,scattered clouds,18.1333,-94.1333,Hotel Victoria
161,Roebourne,AU,81.36,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
165,Black River,JM,80.6,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
167,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
172,Alyangula,AU,80.47,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
186,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
193,Baglan,AF,82.63,broken clouds,36.1307,68.7083,Habibullah MOsazai
194,Korla,CN,81.16,clear sky,41.7597,86.1469,Gulisitan Hotel
199,Mayo,US,75.58,clear sky,38.8876,-76.5119,Resorts Resource Group International
203,Pailon,BO,76.1,broken clouds,-17.65,-62.75,Alojamiento pailon
206,Kudahuvadhoo,MV,84.09,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
212,Tangwani,PK,85.93,clear sky,28.2787,68.9972,Malik Hafeez Markeet
213,Vanimo,PG,84.4,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
215,Manoharpur,IN,88.75,scattered clouds,27.3,75.95,कैथल हरियाणा होटल
223,Sinjar,IQ,77.2,clear sky,36.3209,41.8754,زوماني فون 1
225,Ishigaki,JP,86.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
228,Coari,BR,79.07,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
232,Honiara,SB,78.4,overcast clouds,-9.4333,159.95,Heritage Park Hotel
237,Ha Giang,VN,85.41,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
238,Ladario,BR,75.99,scattered clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
239,Ascension,US,80.6,clear sky,30.2169,-90.9001,Highland Inn
244,Dingle,PH,88.63,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
246,Port Blair,IN,80.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
257,Sakaiminato,JP,75.13,few clouds,35.55,133.2333,味処・民宿 まつや
263,Kununurra,AU,78.78,clear sky,-15.7667,128.7333,Hotel Kununurra
264,Sinjai,ID,83.19,broken clouds,-5.1241,120.25299999999999,Wisma Sandika
266,Punalur,IN,78.48,overcast clouds,9.0,76.9333,Motel Araam
268,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
271,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
273,Hobyo,SO,77.97,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
275,Banda Aceh,ID,85.35,broken clouds,5.5577,95.3222,Sulthan Hotel International
281,Port-Gentil,GA,77.86,overcast clouds,-0.7193,8.7815,Fengshui Residence
282,Cayenne,GF,76.08,light rain,4.9333,-52.3333,Hôtel Le Dronmi
285,Abonnema,NG,77.14,scattered clouds,4.7084,6.7931,Corper's Lodge Obonoma
288,Kota Kinabalu,MY,87.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
291,Sabalgarh,IN,88.3,clear sky,26.25,77.4,Kailadevi studio
293,Surt,LY,75.61,few clouds,31.2089,16.5887,الهادي ابوشعاله سرت
297,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
298,Kokopo,PG,76.71,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
299,Bang Racham,TH,87.06,overcast clouds,14.892000000000001,100.3173,อมรรัตน์ สุวิชัย
300,Boromo,BF,87.49,overcast clouds,11.75,-2.9333,Sama Camp
301,Buchanan,LR,78.76,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
