City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaqortoq,GL,2021-05-28 01:31:27,60.7167,-46.0333,52.3,68,97,4.59
1,Shache,CN,2021-05-28 01:36:38,38.4167,77.2406,77.05,24,0,6.64
2,Barrow,US,2021-05-28 01:30:46,71.2906,-156.7887,33.82,69,90,14.97
3,Avarua,CK,2021-05-28 01:30:19,-21.2078,-159.775,84.25,79,75,14.97
4,Port Hedland,AU,2021-05-28 01:30:29,-20.3167,118.5667,82.45,32,75,20.71
5,Kirensk,RU,2021-05-28 01:36:39,57.7853,108.1119,57.22,36,7,4.88
6,Kodiak,US,2021-05-28 01:27:35,57.79,-152.4072,58.51,58,1,10.36
7,Mataura,NZ,2021-05-28 01:30:22,-46.1927,168.8643,49.48,92,100,3.76
8,Hermanus,ZA,2021-05-28 01:33:04,-34.4187,19.2345,55.9,78,98,13.71
9,Yellowknife,CA,2021-05-28 01:30:19,62.456,-114.3525,58.28,38,75,4.61
10,Bredasdorp,ZA,2021-05-28 01:30:16,-34.5322,20.0403,63.28,63,100,9.37
11,Port Elizabeth,ZA,2021-05-28 01:31:13,-33.918,25.5701,57.49,62,0,5.75
12,Celestun,MX,2021-05-28 01:36:40,20.8667,-90.4,80.01,75,71,17.85
13,Dingle,PH,2021-05-28 01:28:06,10.9995,122.6711,86.54,68,78,4.47
14,Srednekolymsk,RU,2021-05-28 01:31:41,67.45,153.6833,58.08,33,5,24.96
15,Merauke,ID,2021-05-28 01:36:41,-8.4667,140.3333,82.96,69,52,11.36
16,Novyy Urengoy,RU,2021-05-28 01:31:18,66.0833,76.6333,34.2,58,99,14.29
17,Kenitra,MA,2021-05-28 01:33:23,34.261,-6.5802,67.73,80,22,6.26
18,Rikitea,PF,2021-05-28 01:29:53,-23.1203,-134.9692,71.17,58,32,4.41
19,Hobart,AU,2021-05-28 01:26:00,-42.8794,147.3294,49.86,59,40,5.01
20,Iqaluit,CA,2021-05-28 01:30:26,63.7506,-68.5145,32.7,74,90,11.01
21,Busselton,AU,2021-05-28 01:29:57,-33.65,115.3333,65.05,63,1,12.19
22,Pangnirtung,CA,2021-05-28 01:36:42,66.1451,-65.7125,26.82,95,74,2.13
