City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Pedro,PH,2021-05-28 01:48:52,14.35,121.0167,92.35,64,20,6.76,few clouds
1,Hilo,US,2021-05-28 01:43:59,19.7297,-155.09,82.13,71,20,11.5,few clouds
2,Kapaa,US,2021-05-28 01:48:52,22.0752,-159.319,84.18,70,20,1.99,few clouds
3,Rikitea,PF,2021-05-28 01:48:53,-23.1203,-134.9692,71.15,58,32,4.65,scattered clouds
4,Cabo San Lucas,MX,2021-05-28 01:48:03,22.8909,-109.9124,88.81,61,100,11.92,overcast clouds
5,Kulhudhuffushi,MV,2021-05-28 01:48:53,6.6221,73.07,82.56,77,58,20.09,broken clouds
6,Victoria,HK,2021-05-28 01:46:33,22.2855,114.1577,91.96,76,100,4.0,overcast clouds
7,Butaritari,KI,2021-05-28 01:48:54,3.0707,172.7902,83.91,78,64,16.2,light rain
8,Bredasdorp,ZA,2021-05-28 01:48:54,-34.5322,20.0403,60.12,63,100,9.37,overcast clouds
9,Camalu,MX,2021-05-28 01:48:54,30.85,-116.0667,63.43,70,0,11.43,clear sky
10,Shahr-E Babak,IR,2021-05-28 01:48:54,30.1165,55.1186,66.33,31,0,6.44,clear sky
11,Busselton,AU,2021-05-28 01:48:55,-33.65,115.3333,66.04,58,0,13.58,clear sky
12,Atuona,PF,2021-05-28 01:48:55,-9.8,-139.0333,78.8,74,56,13.91,broken clouds
13,Ushuaia,AR,2021-05-28 01:48:56,-54.8,-68.3,28.06,100,75,17.27,light snow
14,Fortuna,US,2021-05-28 01:48:56,40.5982,-124.1573,59.86,65,90,4.0,overcast clouds
15,Bluff,NZ,2021-05-28 01:48:56,-46.6,168.3333,49.8,84,100,4.65,light rain
16,Cape Town,ZA,2021-05-28 01:48:54,-33.9258,18.4232,58.87,91,90,3.0,heavy intensity rain
17,Mahebourg,MU,2021-05-28 01:48:57,-20.4081,57.7,74.25,88,75,1.14,broken clouds
18,Albany,US,2021-05-28 01:46:59,42.6001,-73.9662,59.18,59,99,5.3,overcast clouds
